person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,debt_to_income_ratio,loan_to_income_ratio,income_band,age_group,employment_stability,credit_history_category,flag_prior_default,flag_high_loan_burden,flag_low_income_high_grade_risk,flag_renter,default_probability,credit_risk_score,risk_tier,loan_decision,decision_reasons
23,30000,MORTGAGE,0.0,VENTURE,B,13000,10.99,0,0.4333,N,2,0.0476,0.4333,25-50k,18-25,Unstable(<1y),New(<=2y),0,1,0,0,0.8103613854798913,414,Very High,Reject,Very High risk tier (PD=81.0%) — default probability too high for approval under current risk appetite.
23,33000,RENT,1.0,EDUCATION,A,2000,6.03,0,0.0606,N,4,0.0037,0.0606,25-50k,18-25,Unstable(<1y),Building(2-5y),0,0,0,1,0.0832735761008104,850,Very Low,Approve,Very Low risk tier (PD=8.3%) — strong repayment profile.
21,33000,RENT,0.0,HOMEIMPROVEMENT,C,2000,12.61,1,0.0606,Y,3,0.0076,0.0606,25-50k,18-25,Unstable(<1y),Building(2-5y),1,0,0,1,0.4810123040575841,611,Moderate,Manual Review,Applicant has a prior bureau default on file — policy requires manual review even though the statistical risk tier is otherwise acceptable.
22,33000,RENT,1.0,DEBTCONSOLIDATION,A,2000,7.49,0,0.0606,N,3,0.0045,0.0606,25-50k,18-25,Unstable(<1y),Building(2-5y),0,0,0,1,0.1894736409961779,786,Very Low,Approve,Very Low risk tier (PD=18.9%) — strong repayment profile.
24,40000,RENT,2.0,PERSONAL,B,2000,11.99,0,0.05,N,4,0.006,0.05,25-50k,18-25,Early(1-3y),Building(2-5y),0,0,0,1,0.2372611177360309,758,Low,Approve,Low risk tier (PD=23.7%) — acceptable risk under standard policy.
24,40000,RENT,5.0,MEDICAL,B,2000,10.99,0,0.05,N,4,0.0055,0.05,25-50k,18-25,Established(3-7y),Building(2-5y),0,0,0,1,0.2526098202531917,748,Low,Approve,Low risk tier (PD=25.3%) — acceptable risk under standard policy.
21,40000,RENT,2.0,EDUCATION,C,2000,14.72,0,0.05,N,3,0.0074,0.05,25-50k,18-25,Early(1-3y),Building(2-5y),0,0,0,1,0.3190314933825192,709,Low,Approve,Low risk tier (PD=31.9%) — acceptable risk under standard policy.
22,50400,RENT,3.0,VENTURE,B,2000,10.99,0,0.0397,N,4,0.0044,0.0397,50-75k,18-25,Early(1-3y),Building(2-5y),0,0,0,1,0.1124262178177589,833,Very Low,Approve,Very Low risk tier (PD=11.2%) — strong repayment profile.
25,50450,RENT,3.0,EDUCATION,B,2000,9.88,0,0.0396,N,3,0.0039,0.0396,50-75k,18-25,Early(1-3y),Building(2-5y),0,0,0,1,0.1295042480484433,822,Very Low,Approve,Very Low risk tier (PD=13.0%) — strong repayment profile.
24,53000,RENT,3.0,HOMEIMPROVEMENT,B,2000,10.36,0,0.0377,N,2,0.0039,0.0377,50-75k,18-25,Early(1-3y),New(<=2y),0,0,0,1,0.293324290360991,724,Low,Approve,Low risk tier (PD=29.3%) — acceptable risk under standard policy.
24,53117,RENT,1.0,PERSONAL,C,2000,13.79,0,0.0377,N,2,0.0052,0.0377,50-75k,18-25,Unstable(<1y),New(<=2y),0,0,0,1,0.3017391209136426,719,Low,Approve,Low risk tier (PD=30.2%) — acceptable risk under standard policy.
23,55000,RENT,2.0,EDUCATION,A,2000,7.49,0,0.0364,N,3,0.0027,0.0364,50-75k,18-25,Early(1-3y),Building(2-5y),0,0,0,1,0.0770578859042708,854,Very Low,Approve,Very Low risk tier (PD=7.7%) — strong repayment profile.
25,30000,OWN,9.0,VENTURE,D,7000,15.31,0,0.2333,N,3,0.0357,0.2333,25-50k,18-25,Stable(7y+),Building(2-5y),0,0,0,0,0.4822380796670211,611,Moderate,Approve with Conditions,Moderate risk tier (PD=48.2%) — approve with adjusted terms (higher rate and/or lower approved amount).
24,56496,RENT,5.0,EDUCATION,A,2000,9.32,0,0.0354,N,3,0.0033,0.0354,50-75k,18-25,Established(3-7y),Building(2-5y),0,0,0,1,0.1037819232903365,838,Very Low,Approve,Very Low risk tier (PD=10.4%) — strong repayment profile.
25,57000,RENT,8.0,MEDICAL,B,2000,11.36,0,0.0351,N,2,0.004,0.0351,50-75k,18-25,Stable(7y+),New(<=2y),0,0,0,1,0.2321558359078022,761,Low,Approve,Low risk tier (PD=23.2%) — acceptable risk under standard policy.
26,57450,RENT,4.0,MEDICAL,C,2000,13.35,0,0.0348,Y,2,0.0046,0.0348,50-75k,26-35,Established(3-7y),New(<=2y),1,0,0,1,0.3274824712909315,704,Low,Manual Review,Applicant has a prior bureau default on file — policy requires manual review even though the statistical risk tier is otherwise acceptable.
25,58020,RENT,9.0,PERSONAL,A,2000,6.91,0,0.0345,N,4,0.0024,0.0345,50-75k,18-25,Stable(7y+),Building(2-5y),0,0,0,1,0.084221184226525,849,Very Low,Approve,Very Low risk tier (PD=8.4%) — strong repayment profile.
23,60000,RENT,4.0,MEDICAL,C,2000,13.06,0,0.0333,Y,3,0.0044,0.0333,50-75k,18-25,Established(3-7y),Building(2-5y),1,0,0,1,0.3128972013330134,712,Low,Manual Review,Applicant has a prior bureau default on file — policy requires manual review even though the statistical risk tier is otherwise acceptable.
22,60000,RENT,6.0,EDUCATION,B,2000,9.63,0,0.0333,N,2,0.0032,0.0333,50-75k,18-25,Established(3-7y),New(<=2y),0,0,0,1,0.117304532854449,830,Very Low,Approve,Very Low risk tier (PD=11.7%) — strong repayment profile.
22,54000,RENT,7.0,MEDICAL,F,2000,18.3,1,0.037,Y,4,0.0068,0.037,50-75k,18-25,Established(3-7y),Building(2-5y),1,0,0,1,0.9360058637984704,338,Very High,Reject,Very High risk tier (PD=93.6%) — default probability too high for approval under current risk appetite. | Note: applicant also has a prior bureau default on file.
21,30000,OWN,5.0,MEDICAL,A,9000,5.99,0,0.3,N,4,0.018,0.3,25-50k,18-25,Established(3-7y),Building(2-5y),0,0,0,0,0.215732840329752,771,Low,Approve,Low risk tier (PD=21.6%) — acceptable risk under standard policy.
26,61000,RENT,1.0,MEDICAL,A,2000,7.9,0,0.0328,N,3,0.0026,0.0328,50-75k,26-35,Unstable(<1y),Building(2-5y),0,0,0,1,0.1211871867583774,827,Very Low,Approve,Very Low risk tier (PD=12.1%) — strong repayment profile.
24,62000,RENT,4.0,EDUCATION,C,2000,13.49,0,0.0323,N,3,0.0044,0.0323,50-75k,18-25,Established(3-7y),Building(2-5y),0,0,0,1,0.2360236855922024,758,Low,Approve,Low risk tier (PD=23.6%) — acceptable risk under standard policy.
22,62000,RENT,4.0,EDUCATION,C,2000,15.27,0,0.0323,N,2,0.0049,0.0323,50-75k,18-25,Established(3-7y),New(<=2y),0,0,0,1,0.3030474315788045,718,Low,Approve,Low risk tier (PD=30.3%) — acceptable risk under standard policy.
26,62400,RENT,3.0,PERSONAL,B,2000,12.53,0,0.0321,N,2,0.004,0.0321,50-75k,26-35,Early(1-3y),New(<=2y),0,0,0,1,0.2181937469372335,769,Low,Approve,Low risk tier (PD=21.8%) — acceptable risk under standard policy.
25,30000,MORTGAGE,4.0,EDUCATION,D,10625,16.49,0,0.3542,N,4,0.0584,0.3542,25-50k,18-25,Established(3-7y),Building(2-5y),0,0,0,0,0.9538227259301002,328,Very High,Reject,Very High risk tier (PD=95.4%) — default probability too high for approval under current risk appetite.
24,57996,RENT,8.0,MEDICAL,D,2000,15.37,1,0.0345,N,4,0.0053,0.0345,50-75k,18-25,Stable(7y+),Building(2-5y),0,0,0,1,0.820958253937135,407,Very High,Reject,Very High risk tier (PD=82.1%) — default probability too high for approval under current risk appetite.
22,65000,RENT,3.0,DEBTCONSOLIDATION,C,2000,14.27,0,0.0308,Y,4,0.0044,0.0308,50-75k,18-25,Early(1-3y),Building(2-5y),1,0,0,1,0.4062484530102322,656,Moderate,Manual Review,Applicant has a prior bureau default on file — policy requires manual review even though the statistical risk tier is otherwise acceptable.
26,65000,RENT,3.0,MEDICAL,A,2000,7.51,0,0.0308,N,2,0.0023,0.0308,50-75k,26-35,Early(1-3y),New(<=2y),0,0,0,1,0.1114369320225374,833,Very Low,Approve,Very Low risk tier (PD=11.1%) — strong repayment profile.
26,67000,RENT,6.0,EDUCATION,C,2000,13.48,0,0.0299,N,4,0.004,0.0299,50-75k,26-35,Established(3-7y),Building(2-5y),0,0,0,1,0.2317311246608114,761,Low,Approve,Low risk tier (PD=23.2%) — acceptable risk under standard policy.
23,70000,RENT,4.0,PERSONAL,A,2000,7.66,0,0.0286,N,2,0.0022,0.0286,50-75k,18-25,Established(3-7y),New(<=2y),0,0,0,1,0.0890756162189659,847,Very Low,Approve,Very Low risk tier (PD=8.9%) — strong repayment profile.
23,30000,MORTGAGE,2.0,VENTURE,B,1200,9.67,0,0.04,N,2,0.0039,0.04,25-50k,18-25,Early(1-3y),New(<=2y),0,0,0,0,0.0538823539806931,868,Very Low,Approve,Very Low risk tier (PD=5.4%) — strong repayment profile.
22,30000,MORTGAGE,2.0,MEDICAL,B,6000,11.99,0,0.2,N,3,0.024,0.2,25-50k,18-25,Early(1-3y),Building(2-5y),0,0,0,0,0.484592331649983,609,Moderate,Approve with Conditions,Moderate risk tier (PD=48.5%) — approve with adjusted terms (higher rate and/or lower approved amount).
26,70000,RENT,3.0,EDUCATION,C,2000,12.84,0,0.0286,Y,2,0.0037,0.0286,50-75k,26-35,Early(1-3y),New(<=2y),1,0,0,1,0.2030681364101201,778,Low,Manual Review,Applicant has a prior bureau default on file — policy requires manual review even though the statistical risk tier is otherwise acceptable.
22,30000,MORTGAGE,6.0,VENTURE,B,3000,11.49,0,0.1,N,2,0.0115,0.1,25-50k,18-25,Established(3-7y),New(<=2y),0,0,0,0,0.1259407746607727,824,Very Low,Approve,Very Low risk tier (PD=12.6%) — strong repayment profile.
24,70000,RENT,0.0,VENTURE,B,2000,8.7,0,0.0286,N,3,0.0025,0.0286,50-75k,18-25,Unstable(<1y),Building(2-5y),0,0,0,1,0.0669060338930084,860,Very Low,Approve,Very Low risk tier (PD=6.7%) — strong repayment profile.
22,70028,RENT,7.0,VENTURE,B,2000,10.99,0,0.0286,N,3,0.0031,0.0286,50-75k,18-25,Established(3-7y),Building(2-5y),0,0,0,1,0.1011848484815494,839,Very Low,Approve,Very Low risk tier (PD=10.1%) — strong repayment profile.
24,75000,RENT,2.0,MEDICAL,B,2000,9.99,0,0.0267,N,2,0.0027,0.0267,50-75k,18-25,Early(1-3y),New(<=2y),0,0,0,1,0.1742689817889212,795,Very Low,Approve,Very Low risk tier (PD=17.4%) — strong repayment profile.
22,75000,RENT,6.0,EDUCATION,C,2000,13.43,0,0.0267,N,3,0.0036,0.0267,50-75k,18-25,Established(3-7y),Building(2-5y),0,0,0,1,0.2260229110544882,764,Low,Approve,Low risk tier (PD=22.6%) — acceptable risk under standard policy.
23,30000,OWN,4.0,VENTURE,A,7000,7.49,0,0.2333,N,3,0.0175,0.2333,25-50k,18-25,Established(3-7y),Building(2-5y),0,0,0,0,0.0548088189485458,867,Very Low,Approve,Very Low risk tier (PD=5.5%) — strong repayment profile.
23,75000,RENT,3.0,VENTURE,A,2000,5.79,0,0.0267,N,3,0.0015,0.0267,50-75k,18-25,Early(1-3y),Building(2-5y),0,0,0,1,0.0355791845159676,879,Very Low,Approve,Very Low risk tier (PD=3.6%) — strong repayment profile.
24,76248,RENT,8.0,EDUCATION,B,2000,10.99,0,0.0262,N,3,0.0029,0.0262,75-100k,18-25,Stable(7y+),Building(2-5y),0,0,0,1,0.1364628320331222,818,Very Low,Approve,Very Low risk tier (PD=13.6%) — strong repayment profile.
21,30000,MORTGAGE,6.0,PERSONAL,A,3000,5.99,0,0.1,N,4,0.006,0.1,25-50k,18-25,Established(3-7y),Building(2-5y),0,0,0,0,0.0924349120402914,845,Very Low,Approve,Very Low risk tier (PD=9.2%) — strong repayment profile.
26,30000,MORTGAGE,5.0,HOMEIMPROVEMENT,B,2000,11.99,1,0.0667,N,2,0.008,0.0667,25-50k,26-35,Established(3-7y),New(<=2y),0,0,0,0,0.2979353774297927,721,Low,Approve,Low risk tier (PD=29.8%) — acceptable risk under standard policy.
22,30000,MORTGAGE,5.0,MEDICAL,C,3000,14.79,0,0.1,Y,3,0.0148,0.1,25-50k,18-25,Established(3-7y),Building(2-5y),1,0,0,0,0.3870805760732085,668,Moderate,Manual Review,Applicant has a prior bureau default on file — policy requires manual review even though the statistical risk tier is otherwise acceptable.
22,30000,MORTGAGE,2.0,EDUCATION,B,13250,10.99,0,0.4417,N,3,0.0485,0.4417,25-50k,18-25,Early(1-3y),Building(2-5y),0,1,0,0,0.8715086684123298,377,Very High,Reject,Very High risk tier (PD=87.2%) — default probability too high for approval under current risk appetite.
23,80000,RENT,1.0,VENTURE,B,2000,9.99,0,0.025,N,4,0.0025,0.025,75-100k,18-25,Unstable(<1y),Building(2-5y),0,0,0,1,0.0812126037653183,851,Very Low,Approve,Very Low risk tier (PD=8.1%) — strong repayment profile.
25,80000,RENT,9.0,VENTURE,B,2000,11.49,0,0.025,N,3,0.0029,0.025,75-100k,18-25,Stable(7y+),Building(2-5y),0,0,0,1,0.1058320743827338,837,Very Low,Approve,Very Low risk tier (PD=10.6%) — strong repayment profile.
23,80004,RENT,0.0,PERSONAL,A,2000,7.49,0,0.025,N,3,0.0019,0.025,75-100k,18-25,Unstable(<1y),Building(2-5y),0,0,0,1,0.0826048714075816,850,Very Low,Approve,Very Low risk tier (PD=8.3%) — strong repayment profile.
25,89100,RENT,9.0,VENTURE,C,2000,13.49,0,0.0224,Y,3,0.003,0.0224,75-100k,18-25,Stable(7y+),Building(2-5y),1,0,0,1,0.1602505134276362,804,Very Low,Manual Review,Applicant has a prior bureau default on file — policy requires manual review even though the statistical risk tier is otherwise acceptable.
23,90000,RENT,0.0,PERSONAL,A,2000,7.88,0,0.0222,N,3,0.0018,0.0222,75-100k,18-25,Unstable(<1y),Building(2-5y),0,0,0,1,0.0858694871899537,848,Very Low,Approve,Very Low risk tier (PD=8.6%) — strong repayment profile.
21,99996,RENT,5.0,EDUCATION,C,2000,13.57,0,0.02,Y,3,0.0027,0.02,75-100k,18-25,Established(3-7y),Building(2-5y),1,0,0,1,0.2169180509172779,770,Low,Manual Review,Applicant has a prior bureau default on file — policy requires manual review even though the statistical risk tier is otherwise acceptable.
23,100000,RENT,4.0,MEDICAL,B,2000,10.62,0,0.02,N,2,0.0021,0.02,75-100k,18-25,Established(3-7y),New(<=2y),0,0,0,1,0.1836660881705339,790,Very Low,Approve,Very Low risk tier (PD=18.4%) — strong repayment profile.
25,101424,RENT,6.0,DEBTCONSOLIDATION,A,2000,7.29,0,0.0197,N,4,0.0014,0.0197,100k+,18-25,Established(3-7y),Building(2-5y),0,0,0,1,0.1154005468365865,831,Very Low,Approve,Very Low risk tier (PD=11.5%) — strong repayment profile.
26,108000,RENT,5.0,EDUCATION,D,2000,16.29,0,0.0185,N,4,0.003,0.0185,100k+,26-35,Established(3-7y),Building(2-5y),0,0,0,1,0.7469874282561765,452,Very High,Reject,Very High risk tier (PD=74.7%) — default probability too high for approval under current risk appetite.
23,30000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,3800,5.79,0,0.1267,N,3,0.0073,0.1267,25-50k,18-25,Early(1-3y),Building(2-5y),0,0,0,0,0.178179866725282,793,Very Low,Approve,Very Low risk tier (PD=17.8%) — strong repayment profile.
22,30000,OWN,4.0,EDUCATION,B,5125,10.0,0,0.1708,N,3,0.0171,0.1708,25-50k,18-25,Established(3-7y),Building(2-5y),0,0,0,0,0.0570347014546269,866,Very Low,Approve,Very Low risk tier (PD=5.7%) — strong repayment profile.
25,130000,RENT,3.0,HOMEIMPROVEMENT,A,2000,6.99,0,0.0154,N,4,0.0011,0.0154,100k+,18-25,Early(1-3y),Building(2-5y),0,0,0,1,0.1342940364140862,819,Very Low,Approve,Very Low risk tier (PD=13.4%) — strong repayment profile.
22,25000,RENT,1.0,VENTURE,B,2050,10.59,0,0.082,N,2,0.0087,0.082,<25k,18-25,Unstable(<1y),New(<=2y),0,0,0,1,0.1681373569212962,799,Very Low,Approve,Very Low risk tier (PD=16.8%) — strong repayment profile.
23,30000,MORTGAGE,6.0,PERSONAL,C,2400,13.48,0,0.08,N,4,0.0108,0.08,25-50k,18-25,Established(3-7y),Building(2-5y),0,0,0,0,0.2558048815522094,747,Low,Approve,Low risk tier (PD=25.6%) — acceptable risk under standard policy.
23,10000,RENT,1.0,VENTURE,B,2100,12.21,1,0.21,N,3,0.0256,0.21,<25k,18-25,Unstable(<1y),Building(2-5y),0,0,0,1,0.5711535233557483,557,High,Manual Review,High risk tier (PD=57.1%) — requires underwriter judgement and possibly additional collateral/guarantor.
23,12000,RENT,0.0,MEDICAL,A,2100,8.94,1,0.175,N,2,0.0156,0.175,<25k,18-25,Unstable(<1y),New(<=2y),0,0,0,1,0.5521020783732842,569,High,Manual Review,High risk tier (PD=55.2%) — requires underwriter judgement and possibly additional collateral/guarantor.
22,14400,RENT,0.0,HOMEIMPROVEMENT,D,2100,14.83,1,0.1458,N,3,0.0216,0.1458,<25k,18-25,Unstable(<1y),Building(2-5y),0,0,1,1,0.9663031203677096,320,Very High,Reject,Very High risk tier (PD=96.6%) — default probability too high for approval under current risk appetite.
24,15000,RENT,0.0,EDUCATION,C,2100,13.11,0,0.14,Y,4,0.0184,0.14,<25k,18-25,Unstable(<1y),Building(2-5y),1,0,0,1,0.4982961956438501,601,Moderate,Manual Review,Applicant has a prior bureau default on file — policy requires manual review even though the statistical risk tier is otherwise acceptable.
22,21600,RENT,3.0,MEDICAL,B,2100,9.99,0,0.0972,N,4,0.0097,0.0972,<25k,18-25,Early(1-3y),Building(2-5y),0,0,0,1,0.3463388149490065,692,Low,Approve,Low risk tier (PD=34.6%) — acceptable risk under standard policy.
22,30000,OWN,4.0,EDUCATION,A,12000,7.66,0,0.4,N,2,0.0306,0.4,25-50k,18-25,Established(3-7y),New(<=2y),0,0,0,0,0.3730412408637447,676,Moderate,Approve with Conditions,Moderate risk tier (PD=37.3%) — approve with adjusted terms (higher rate and/or lower approved amount).
25,23000,RENT,0.0,EDUCATION,C,2100,13.48,0,0.0913,Y,4,0.0123,0.0913,<25k,18-25,Unstable(<1y),Building(2-5y),1,0,0,1,0.3674798640989861,680,Low,Manual Review,Applicant has a prior bureau default on file — policy requires manual review even though the statistical risk tier is otherwise acceptable.
22,24000,RENT,0.0,PERSONAL,B,2100,12.21,0,0.0875,N,2,0.0107,0.0875,<25k,18-25,Unstable(<1y),New(<=2y),0,0,0,1,0.3373991073617229,698,Low,Approve,Low risk tier (PD=33.7%) — acceptable risk under standard policy.
22,30000,MORTGAGE,6.0,VENTURE,A,2000,5.42,0,0.0667,N,2,0.0036,0.0667,25-50k,18-25,Established(3-7y),New(<=2y),0,0,0,0,0.0324692896264212,881,Very Low,Approve,Very Low risk tier (PD=3.2%) — strong repayment profile.
23,33600,RENT,0.0,DEBTCONSOLIDATION,B,2100,10.99,0,0.0625,N,3,0.0069,0.0625,25-50k,18-25,Unstable(<1y),Building(2-5y),0,0,0,1,0.3230381566898343,706,Low,Approve,Low risk tier (PD=32.3%) — acceptable risk under standard policy.
22,34560,RENT,1.0,MEDICAL,E,2100,17.04,1,0.0608,N,3,0.0104,0.0608,25-50k,18-25,Unstable(<1y),Building(2-5y),0,0,0,1,0.9146368437609323,351,Very High,Reject,Very High risk tier (PD=91.5%) — default probability too high for approval under current risk appetite.
25,30000,MORTGAGE,4.0,HOMEIMPROVEMENT,A,8000,6.92,0,0.2667,N,3,0.0185,0.2667,25-50k,18-25,Established(3-7y),Building(2-5y),0,0,0,0,0.6396719327224164,516,High,Manual Review,High risk tier (PD=64.0%) — requires underwriter judgement and possibly additional collateral/guarantor.
22,40000,RENT,0.0,DEBTCONSOLIDATION,A,2100,6.39,0,0.0525,N,2,0.0034,0.0525,25-50k,18-25,Unstable(<1y),New(<=2y),0,0,0,1,0.1442038668596479,813,Very Low,Approve,Very Low risk tier (PD=14.4%) — strong repayment profile.
25,44400,RENT,4.0,PERSONAL,D,2100,17.27,0,0.0473,N,4,0.0082,0.0473,25-50k,18-25,Established(3-7y),Building(2-5y),0,0,0,1,0.8475793042801433,391,Very High,Reject,Very High risk tier (PD=84.8%) — default probability too high for approval under current risk appetite.
22,30000,OWN,6.0,EDUCATION,A,2500,7.29,0,0.0833,N,3,0.0061,0.0833,25-50k,18-25,Established(3-7y),Building(2-5y),0,0,0,0,0.0139482456655257,892,Very Low,Approve,Very Low risk tier (PD=1.4%) — strong repayment profile.
23,45000,RENT,0.0,VENTURE,B,2100,11.48,0,0.0467,N,4,0.0054,0.0467,25-50k,18-25,Unstable(<1y),Building(2-5y),0,0,0,1,0.1291761506734783,822,Very Low,Approve,Very Low risk tier (PD=12.9%) — strong repayment profile.
22,52800,RENT,1.0,PERSONAL,A,2100,6.76,0,0.0398,N,2,0.0027,0.0398,50-75k,18-25,Unstable(<1y),New(<=2y),0,0,0,1,0.0867621881139419,848,Very Low,Approve,Very Low risk tier (PD=8.7%) — strong repayment profile.
22,60000,RENT,5.0,DEBTCONSOLIDATION,C,2100,14.65,0,0.035,N,2,0.0051,0.035,50-75k,18-25,Established(3-7y),New(<=2y),0,0,0,1,0.4392208656018502,636,Moderate,Approve with Conditions,Moderate risk tier (PD=43.9%) — approve with adjusted terms (higher rate and/or lower approved amount).
22,60000,RENT,5.0,VENTURE,C,2100,13.43,0,0.035,N,2,0.0047,0.035,50-75k,18-25,Established(3-7y),New(<=2y),0,0,0,1,0.1781124085768737,793,Very Low,Approve,Very Low risk tier (PD=17.8%) — strong repayment profile.
25,30000,OWN,9.0,VENTURE,A,10000,7.49,0,0.3333,N,2,0.025,0.3333,25-50k,18-25,Stable(7y+),New(<=2y),0,0,0,0,0.1576680100979294,805,Very Low,Approve,Very Low risk tier (PD=15.8%) — strong repayment profile.
24,54000,RENT,8.0,HOMEIMPROVEMENT,E,2100,17.14,1,0.0389,N,4,0.0067,0.0389,50-75k,18-25,Stable(7y+),Building(2-5y),0,0,0,1,0.934828651857872,339,Very High,Reject,Very High risk tier (PD=93.5%) — default probability too high for approval under current risk appetite.
22,30000,MORTGAGE,0.0,EDUCATION,A,7000,7.29,0,0.2333,N,3,0.017,0.2333,25-50k,18-25,Unstable(<1y),Building(2-5y),0,0,0,0,0.3211148202551079,707,Low,Approve,Low risk tier (PD=32.1%) — acceptable risk under standard policy.
25,80000,RENT,9.0,PERSONAL,A,2100,7.49,0,0.0262,N,4,0.002,0.0262,75-100k,18-25,Stable(7y+),Building(2-5y),0,0,0,1,0.0837398962966621,850,Very Low,Approve,Very Low risk tier (PD=8.4%) — strong repayment profile.
23,87000,RENT,4.0,EDUCATION,C,2100,13.48,0,0.0241,N,2,0.0033,0.0241,75-100k,18-25,Established(3-7y),New(<=2y),0,0,0,1,0.2211519230733928,767,Low,Approve,Low risk tier (PD=22.1%) — acceptable risk under standard policy.
24,79050,RENT,2.0,MEDICAL,B,2100,9.91,1,0.0266,N,4,0.0026,0.0266,75-100k,18-25,Early(1-3y),Building(2-5y),0,0,0,1,0.1714052337272813,797,Very Low,Approve,Very Low risk tier (PD=17.1%) — strong repayment profile.
26,110000,RENT,0.0,DEBTCONSOLIDATION,A,2100,7.12,0,0.0191,N,2,0.0014,0.0191,100k+,26-35,Unstable(<1y),New(<=2y),0,0,0,1,0.1094508301751416,834,Very Low,Approve,Very Low risk tier (PD=10.9%) — strong repayment profile.
23,30000,MORTGAGE,6.0,EDUCATION,A,10000,7.66,0,0.3333,N,3,0.0255,0.3333,25-50k,18-25,Established(3-7y),Building(2-5y),0,0,0,0,0.6114891165912856,533,High,Manual Review,High risk tier (PD=61.1%) — requires underwriter judgement and possibly additional collateral/guarantor.
26,43000,RENT,4.0,PERSONAL,A,2125,8.9,0,0.0494,N,3,0.0044,0.0494,25-50k,26-35,Established(3-7y),Building(2-5y),0,0,0,1,0.1369750047919706,818,Very Low,Approve,Very Low risk tier (PD=13.7%) — strong repayment profile.
22,17772,RENT,0.0,MEDICAL,A,2150,7.49,0,0.121,N,4,0.0091,0.121,<25k,18-25,Unstable(<1y),Building(2-5y),0,0,0,1,0.3143915670657931,711,Low,Approve,Low risk tier (PD=31.4%) — acceptable risk under standard policy.
26,57600,RENT,10.0,DEBTCONSOLIDATION,D,2150,15.62,1,0.0373,Y,3,0.0058,0.0373,50-75k,26-35,Stable(7y+),Building(2-5y),1,0,0,1,0.8527797641380092,388,Very High,Reject,Very High risk tier (PD=85.3%) — default probability too high for approval under current risk appetite. | Note: applicant also has a prior bureau default on file.
22,28800,RENT,2.0,VENTURE,A,14000,7.9,1,0.4861,N,2,0.0384,0.4861,25-50k,18-25,Early(1-3y),New(<=2y),0,1,0,1,0.9360670428584662,338,Very High,Reject,Very High risk tier (PD=93.6%) — default probability too high for approval under current risk appetite.
21,30000,MORTGAGE,5.0,VENTURE,B,6400,10.99,0,0.2133,N,3,0.0234,0.2133,25-50k,18-25,Established(3-7y),Building(2-5y),0,0,0,0,0.2933646933046127,724,Low,Approve,Low risk tier (PD=29.3%) — acceptable risk under standard policy.
21,30000,RENT,3.0,MEDICAL,B,14000,10.65,1,0.4667,N,2,0.0497,0.4667,25-50k,18-25,Early(1-3y),New(<=2y),0,1,0,1,0.963907055119536,322,Very High,Reject,Very High risk tier (PD=96.4%) — default probability too high for approval under current risk appetite.
24,30000,RENT,2.0,DEBTCONSOLIDATION,A,14000,7.9,1,0.4667,N,2,0.0369,0.4667,25-50k,18-25,Early(1-3y),New(<=2y),0,1,0,1,0.9690960686532948,319,Very High,Reject,Very High risk tier (PD=96.9%) — default probability too high for approval under current risk appetite.
24,30000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,3075,7.49,0,0.1025,N,4,0.0077,0.1025,25-50k,18-25,Established(3-7y),Building(2-5y),0,0,0,0,0.1714066797564927,797,Very Low,Approve,Very Low risk tier (PD=17.1%) — strong repayment profile.
22,30000,RENT,6.0,VENTURE,A,14000,6.99,1,0.4667,N,4,0.0326,0.4667,25-50k,18-25,Established(3-7y),Building(2-5y),0,1,0,1,0.9187301798109384,349,Very High,Reject,Very High risk tier (PD=91.9%) — default probability too high for approval under current risk appetite.
23,30000,RENT,1.0,MEDICAL,B,14000,11.26,1,0.4667,N,3,0.0525,0.4667,25-50k,18-25,Unstable(<1y),Building(2-5y),0,1,0,1,0.9631804800933326,322,Very High,Reject,Very High risk tier (PD=96.3%) — default probability too high for approval under current risk appetite.
22,32000,RENT,0.0,DEBTCONSOLIDATION,C,14000,13.49,1,0.4375,N,2,0.059,0.4375,25-50k,18-25,Unstable(<1y),New(<=2y),0,1,0,1,0.9607724672052106,324,Very High,Reject,Very High risk tier (PD=96.1%) — default probability too high for approval under current risk appetite.
22,30000,MORTGAGE,6.0,PERSONAL,C,2000,12.61,0,0.0667,N,4,0.0084,0.0667,25-50k,18-25,Established(3-7y),Building(2-5y),0,0,0,0,0.2093265645184481,774,Low,Approve,Low risk tier (PD=20.9%) — acceptable risk under standard policy.
22,32000,RENT,7.0,EDUCATION,C,14000,12.23,1,0.4375,N,3,0.0535,0.4375,25-50k,18-25,Established(3-7y),Building(2-5y),0,1,0,1,0.9266421739299202,344,Very High,Reject,Very High risk tier (PD=92.7%) — default probability too high for approval under current risk appetite.
26,32400,RENT,10.0,EDUCATION,A,14000,7.51,1,0.4321,N,4,0.0325,0.4321,25-50k,26-35,Stable(7y+),Building(2-5y),0,1,0,1,0.905090983263642,357,Very High,Reject,Very High risk tier (PD=90.5%) — default probability too high for approval under current risk appetite.
